train_rmse,train_loss,epoch,step,val_rmse,val_loss
0.20767414569854736,0.04631919413805008,0,49,,
0.07890436053276062,0.007734512910246849,0,99,,
0.04338648170232773,0.002413604874163866,0,149,,
,,0,150,0.023177266120910645,0.00173093075864017
0.03816528618335724,0.002241959795355797,1,199,,
0.03621413931250572,0.0018578666495159268,1,249,,
0.032445311546325684,0.0014051995240151882,1,299,,
,,1,301,0.011342724785208702,0.00023630821669939905
0.030441898852586746,0.0013052548747509718,2,349,,
0.02734656259417534,0.0009967769728973508,2,399,,
0.028702184557914734,0.001158947590738535,2,449,,
,,2,452,0.009744255803525448,0.00024773430777713656
0.025915587320923805,0.0009644883684813976,3,499,,
0.028961285948753357,0.0010036943713203073,3,549,,
0.02547897771000862,0.0008453418267890811,3,599,,
,,3,603,0.008673887699842453,0.00027064007008448243
0.02245846390724182,0.00072975002694875,4,649,,
0.028733719140291214,0.0010015831794589758,4,699,,
