train_rmse,train_loss,epoch,step,val_rmse,val_loss
0.3234120309352875,0.12900930643081665,0,49,,
0.20419691503047943,0.051226116716861725,0,99,,
0.19508777558803558,0.04441621154546738,0,149,,
,,0,150,0.1218472570180893,0.017430756241083145
0.1113155335187912,0.015301436185836792,1,199,,
0.10045331716537476,0.01194174587726593,1,249,,
0.12550632655620575,0.018287532031536102,1,299,,
,,1,301,0.08876217156648636,0.009234311059117317
0.10433244705200195,0.01315021887421608,2,349,,
0.09525766968727112,0.010843073949217796,2,399,,
0.11169983446598053,0.014392023906111717,2,449,,
,,2,452,0.08385047316551208,0.008250219747424126
0.10657724738121033,0.013107255101203918,3,499,,
0.10906374454498291,0.013337614014744759,3,549,,
0.09784997254610062,0.010981759987771511,3,599,,
,,3,603,0.07421218603849411,0.006693876348435879
0.12065856158733368,0.015970444306731224,4,649,,
0.09124058485031128,0.009731070138514042,4,699,,
0.09334340691566467,0.009855351410806179,4,749,,
,,4,754,0.08581996709108353,0.008646776899695396
0.0808224081993103,0.00785106047987938,5,799,,
0.08932230621576309,0.009355707094073296,5,849,,
0.08739538490772247,0.009599796496331692,5,899,,
,,5,905,0.06326019763946533,0.005115644074976444
0.07346539199352264,0.00654661376029253,6,949,,
0.06691479682922363,0.0058657145127654076,6,999,,
0.0889178141951561,0.009579661302268505,6,1049,,
,,6,1056,0.05148585885763168,0.0032481641974300146
0.06539501249790192,0.0053842077031731606,7,1099,,
0.0697028785943985,0.006142222788184881,7,1149,,
0.0753997266292572,0.006736747920513153,7,1199,,
,,7,1207,0.03925709426403046,0.001951846992596984
0.09715083241462708,0.010818183422088623,8,1249,,
0.05944419279694557,0.004275868181139231,8,1299,,
0.09648704528808594,0.010719900950789452,8,1349,,
,,8,1358,0.04401427507400513,0.002286482136696577
0.07248888909816742,0.006425977684557438,9,1399,,
0.07770118862390518,0.007436531595885754,9,1449,,
0.0640992820262909,0.0048538437113165855,9,1499,,
,,9,1509,0.03435024619102478,0.0014635496772825718
0.07050558179616928,0.005849902518093586,10,1549,,
0.06451313197612762,0.0049262563697993755,10,1599,,
0.09682416915893555,0.011303678154945374,10,1649,,
,,10,1660,0.04213712364435196,0.002023803535848856
0.08151717483997345,0.007513509597629309,11,1699,,
0.06128772348165512,0.004510151222348213,11,1749,,
0.04958074539899826,0.002973622642457485,11,1799,,
,,11,1811,0.04040040820837021,0.0020225285552442074
0.04755185544490814,0.0028632497414946556,12,1849,,
0.07159419357776642,0.00603266479447484,12,1899,,
0.10249984264373779,0.011375296860933304,12,1949,,
,,12,1962,0.05227923393249512,0.003218667581677437
0.08133840560913086,0.007753457874059677,13,1999,,
0.0743279904127121,0.006488029379397631,13,2049,,
0.06652513146400452,0.0050787911750376225,13,2099,,
,,13,2113,0.03294295817613602,0.001384690753184259
0.060440629720687866,0.0045286850072443485,14,2149,,
0.06195392459630966,0.004653365351259708,14,2199,,
0.05251092091202736,0.0035531441681087017,14,2249,,
,,14,2264,0.0366385243833065,0.0015788879245519638
0.05465476214885712,0.0035309824161231518,15,2299,,
0.056831859052181244,0.003929627127945423,15,2349,,
0.047392453998327255,0.0028556452598422766,15,2399,,
,,15,2415,0.06797121465206146,0.005725475028157234
0.06641437113285065,0.005113985389471054,16,2449,,
0.08806845545768738,0.008880607783794403,16,2499,,
0.046369075775146484,0.0026611476205289364,16,2549,,
,,16,2566,0.034516558051109314,0.0014681066386401653
0.059303782880306244,0.004318511113524437,17,2599,,
0.08765579760074615,0.008753135800361633,17,2649,,
0.06536489725112915,0.00519811175763607,17,2699,,
,,17,2717,0.04226182401180267,0.002145562320947647
0.05188874155282974,0.0033242283388972282,18,2749,,
0.0554991215467453,0.003624954493716359,18,2799,,
0.0693933367729187,0.005927520804107189,18,2849,,
,,18,2868,0.029254328459501266,0.0010481844656169415
0.06929918378591537,0.0059791808016598225,19,2899,,
0.057319268584251404,0.003949958365410566,19,2949,,
0.06040012091398239,0.0043233903124928474,19,2999,,
,,19,3019,0.05236189067363739,0.003076740074902773
0.05472353473305702,0.003821244463324547,20,3049,,
0.08005927503108978,0.00755205936729908,20,3099,,
0.056695204228162766,0.0038119375240057707,20,3149,,
,,20,3170,0.04435186833143234,0.0024448116309940815
0.05487111583352089,0.003756781807169318,21,3199,,
0.08041677623987198,0.007882090285420418,21,3249,,
0.0672149509191513,0.005590787623077631,21,3299,,
,,21,3321,0.039808984845876694,0.0019770609214901924
0.06264530122280121,0.004369631409645081,22,3349,,
0.060412511229515076,0.004526238422840834,22,3399,,
0.04536105692386627,0.002481745555996895,22,3449,,
,,22,3472,0.03578982502222061,0.0016573613975197077
0.06337425112724304,0.0047987522557377815,23,3499,,
0.05323917418718338,0.0034601446241140366,23,3549,,
0.05419570952653885,0.0036146165803074837,23,3599,,
,,23,3623,0.05367394909262657,0.00345873786136508
0.05626292526721954,0.0038802381604909897,24,3649,,
0.061062056571245193,0.004494689404964447,24,3699,,
0.049802374094724655,0.0029823353979736567,24,3749,,
,,24,3774,0.0682859793305397,0.005256898235529661
0.04492056369781494,0.002568684983998537,25,3799,,
0.047069989144802094,0.0026595343369990587,25,3849,,
0.05517265945672989,0.0036282138898968697,25,3899,,
,,25,3925,0.050790444016456604,0.0029772217385470867
0.051434651017189026,0.0032175350934267044,26,3949,,
0.0803779810667038,0.00730346143245697,26,3999,,
0.053400374948978424,0.0035006289836019278,26,4049,,
,,26,4076,0.03691288083791733,0.0015700636431574821
0.05381424352526665,0.0035373533610254526,27,4099,,
0.05865743011236191,0.003975385800004005,27,4149,,
0.044677481055259705,0.0024731606245040894,27,4199,,
,,27,4227,0.055740274488925934,0.003518620040267706
0.049307405948638916,0.0030882982537150383,28,4249,,
0.06185394525527954,0.0045901695266366005,28,4299,,
0.05825279280543327,0.003875039517879486,28,4349,,
,,28,4378,0.04992140457034111,0.002940107136964798
0.043541789054870605,0.002302673179656267,29,4399,,
0.05308660864830017,0.003427470102906227,29,4449,,
0.0617474690079689,0.004619025159627199,29,4499,,
,,29,4529,0.04408087208867073,0.002306216862052679
0.06131558120250702,0.004382770508527756,30,4549,,
0.050246138125658035,0.0032139657996594906,30,4599,,
0.05887550488114357,0.00422991719096899,30,4649,,
,,30,4680,0.04535041004419327,0.002271949080750346
0.04423362761735916,0.0023907157592475414,31,4699,,
0.06789343059062958,0.0054188077338039875,31,4749,,
0.07116185128688812,0.006205416284501553,31,4799,,
,,31,4831,0.04881136864423752,0.0029662989545613527
0.08332386612892151,0.00795314647257328,32,4849,,
0.040925659239292145,0.0020261001773178577,32,4899,,
0.06849315017461777,0.005813754163682461,32,4949,,
,,32,4982,0.033490799367427826,0.0013167433207854629
0.050090089440345764,0.0029883822426199913,33,4999,,
0.07806597650051117,0.006993104703724384,33,5049,,
0.07027390599250793,0.005734534934163094,33,5099,,
,,33,5133,0.04526859521865845,0.0024866368621587753
0.0892149955034256,0.008719506673514843,34,5149,,
0.055487051606178284,0.0036084470339119434,34,5199,,
0.06880299746990204,0.005426841787993908,34,5249,,
,,34,5284,0.03976600617170334,0.0020706607028841972
0.06524498760700226,0.004974060691893101,35,5299,,
0.041106149554252625,0.0021081678569316864,35,5349,,
0.06090265139937401,0.004669299349188805,35,5399,,
,,35,5435,0.04708142578601837,0.0026145430747419596
0.04512827843427658,0.0025626784190535545,36,5449,,
0.045330971479415894,0.0025528697296977043,36,5499,,
0.07219565659761429,0.0059400941245257854,36,5549,,
,,36,5586,0.03367692232131958,0.001433185301721096
0.04474882781505585,0.0024364201817661524,37,5599,,
